   2.98681       1.24266
   0.14880       1.00398
   0.05888       0.92562
   2.37351       1.37384
   7.84804       1.38558
   2.43226       0.73939
   0.88762       0.95163
   0.36703       1.04118
   5.94417       0.81765
   0.94014       0.98922
   0.90066       1.13166
   1.29842       1.22984
   0.51271       1.34257
   0.57379       1.08917
   0.81148       1.03071
   2.64064       0.92834
   0.39985       0.95463
   1.77277       0.91774
   4.08790       1.10473
   0.96062       0.54336
   2.25625       1.03911
   3.65232       0.59143
   3.80303       1.02581
   1.41571       0.98208
   1.75283       1.02503
   3.53453       0.75996
   2.86753       0.91407
   1.51897       0.63993
   0.53995       0.68910
   6.08740       1.08218
